Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4216.97 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4291.13 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 859.16 is outside the allowed range [80.00, 120.00]",False,036SMPL.d,16/11/2023 12:47:15,Sample,,20-60-T,350.127,0.3,80.121,2.3,764.498,0.2,778.680,0.6,3.323,0.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4913.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5096.65 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1057.18 is outside the allowed range [80.00, 120.00]",False,037SMPL.d,16/11/2023 13:01:19,Sample,,20-90-B,592.089,1.3,40.001,2.8,355.867,1.1,368.761,1.9,1.120,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4908.89 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5123.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1284.40 is outside the allowed range [80.00, 120.00]",False,038SMPL.d,16/11/2023 13:02:57,Sample,,blk ,1.164,24.3,<0.000,N/A,2.377,5.8,2.410,15.0,<0.000,N/A,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5027.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5240.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1016.00 is outside the allowed range [80.00, 120.00]",False,039SMPL.d,16/11/2023 13:04:35,Sample,,100 ppb check,110.060,2.7,112.599,1.8,108.530,2.6,105.930,3.6,98.691,2.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5238.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5433.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1109.07 is outside the allowed range [80.00, 120.00]",False,040SMPL.d,16/11/2023 13:06:12,Sample,,0-50-B,320.155,0.5,1.134,5.1,222.683,1.2,227.411,0.4,0.341,2.9,,,,,,
"56  Fe  [ He ] :  Concentration value = 11125.34 is over the calibration range57  Fe  [ He ] :  Concentration value = 10856.79 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5325.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5495.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1135.33 is outside the allowed range [80.00, 120.00]",False,041SMPL.d,16/11/2023 13:07:55,Sample,,0-90-B,2455.579,3.0,147.116,1.6,11125.344,2.5,10856.787,3.0,29.057,3.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5310.04 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5550.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1152.34 is outside the allowed range [80.00, 120.00]",False,042SMPL.d,16/11/2023 13:09:43,Sample,,20-40-T,375.247,0.4,20.334,2.3,925.639,1.3,946.684,0.7,3.131,2.0,,,,,,
"27  Al  [ He ] :  CPS RSD value = 17.60 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 19.13 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 19.60 is over the allowed maximum = 5.0075  As  [ He ] :  CPS RSD value = 19.56 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  CPS RSD value = 47.87 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5971.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 48.99 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6145.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 44.93 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1325.91 is outside the allowed range [80.00, 120.00]",False,043SMPL.d,16/11/2023 13:11:21,Sample,,20-20-T,675.747,17.7,226.627,3.9,1628.890,19.2,1660.136,19.6,4.295,19.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5434.87 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4681.69 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.07 is outside the allowed range [80.00, 120.00]",False,044SMPL.d,16/11/2023 13:13:04,Sample,,20-100-B,905.103,0.8,71.395,3.3,448.028,0.5,455.605,0.7,3.593,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6191.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5800.87 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1159.77 is outside the allowed range [80.00, 120.00]",False,045SMPL.d,16/11/2023 13:14:42,Sample,,20-10-B,3231.085,1.0,43.090,1.4,8622.112,0.6,8581.505,0.9,3.653,0.8,,,,,,
