Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc. [ ppb ],Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4145.75 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4277.49 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.05 is outside the allowed range [80.00, 120.00]",False,035SMPL.d,16/11/2023 12:45:37,Sample,,20-70-T,472.910,0.3,109.266,1.8,837.770,0.8,837.914,0.5,1.472,1.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4216.97 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4291.13 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 859.16 is outside the allowed range [80.00, 120.00]",False,036SMPL.d,16/11/2023 12:47:15,Sample,,20-60-T,336.476,0.3,78.308,2.3,785.850,0.2,782.193,0.6,3.523,0.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4913.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5096.65 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1057.18 is outside the allowed range [80.00, 120.00]",False,037SMPL.d,16/11/2023 13:01:19,Sample,,20-90-B,569.005,1.3,39.096,2.8,365.807,1.1,370.425,1.9,1.187,2.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4908.89 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5123.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1284.40 is outside the allowed range [80.00, 120.00]",False,038SMPL.d,16/11/2023 13:02:57,Sample,,blk ,1.119,24.3,<0.000,N/A,2.444,5.8,2.421,15.0,<0.000,N/A,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5027.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5240.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1016.00 is outside the allowed range [80.00, 120.00]",False,039SMPL.d,16/11/2023 13:04:35,Sample,,100 ppb check,105.769,2.7,110.052,1.8,111.561,2.6,106.407,3.6,104.647,2.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5238.40 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5433.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1109.07 is outside the allowed range [80.00, 120.00]",False,040SMPL.d,16/11/2023 13:06:12,Sample,,0-50-B,307.673,0.5,1.108,5.1,228.903,1.2,228.437,0.4,0.361,2.9,,,,,,
"27  Al  [ He ] :  Concentration value = 2359.84 is over the calibration range56  Fe  [ He ] :  Concentration value = 11436.07 is over the calibration range57  Fe  [ He ] :  Concentration value = 10905.77 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5325.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5495.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1135.33 is outside the allowed range [80.00, 120.00]",False,041SMPL.d,16/11/2023 13:07:55,Sample,,0-90-B,2359.843,3.0,143.788,1.6,11436.075,2.5,10905.767,3.0,30.810,3.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5310.04 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5550.75 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1152.34 is outside the allowed range [80.00, 120.00]",False,042SMPL.d,16/11/2023 13:09:43,Sample,,20-40-T,360.617,0.4,19.874,2.3,951.492,1.3,950.955,0.7,3.320,2.0,,,,,,
"27  Al  [ He ] :  CPS RSD value = 17.60 is over the allowed maximum = 5.0056  Fe  [ He ] :  Concentration value = 1674.38 is over the calibration range56  Fe  [ He ] :  CPS RSD value = 19.13 is over the allowed maximum = 5.0057  Fe  [ He ] :  Concentration value = 1667.63 is over the calibration range57  Fe  [ He ] :  CPS RSD value = 19.60 is over the allowed maximum = 5.0075  As  [ He ] :  CPS RSD value = 19.56 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  CPS RSD value = 47.87 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5971.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 48.99 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6145.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 44.93 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1325.91 is outside the allowed range [80.00, 120.00]",False,043SMPL.d,16/11/2023 13:11:21,Sample,,20-20-T,649.402,17.7,221.500,3.9,1674.385,19.2,1667.626,19.6,4.555,19.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5434.87 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4681.69 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.07 is outside the allowed range [80.00, 120.00]",False,044SMPL.d,16/11/2023 13:13:04,Sample,,20-100-B,869.815,0.8,69.780,3.3,460.542,0.5,457.660,0.7,3.810,1.6,,,,,,
