x,y,B_T,lat,lon,elev,sample_collect,moisture_content_wet_g_g,moisture_content_wet_%,OM_g,OM_%,MF_%,ph,ICP_dilution_factor,55_Mn_CPS,55_Mn_calc_conc_undil_ppb,55_Mn_meas_conc_undil_ppb,75_As_CPS,75_As_calc_conc_undil_ppb,75_As_meas_conc_undil_ppb,27_Al_CPS,27_Al_calc_conc_undil_ppb,27_Al_meas_conc_undil_ppb,56_Fe_CPS,56_Fe_calc_conc_undil_ppb,56_Fe_meas_conc_undil_ppb,57_Fe_CPS,57_Fe_calc_conc_undil_ppb,57_Fe_meas_conc_undil_ppb,IC_dilution_factor,peak_Cl_area_usmin,c_Cl_calc_undil_ppm,c_Cl_measure_undil_ppm,peak_Nitrite_area_usmin,c_Nitrite_calc_undil_ppm,c_Nitrite_measure_undil_ppm,peak_Nitrate_area_usmin,c_Nitrate_calc_undil_ppm,c_Nitrate_measure_undil_ppm,peak_SO4_area_usmin,c_SO4_calc_undil_ppm,c_SO4_measure_undil_ppm,254_fin_corr,365_fin_corr,E2_254_corr/E3_corr,undil_DOC_ABC_254_mg_L
20,0,T,55.250364,-4.484178973,334.29718,1,0.2939,29.3949,0.0718,7.1825,92.8175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,10,T,55.25025202,-4.484192971,331.917175,1,0.7325,73.2469,0.4251,42.5055,57.4945,4.42,5,307016.26,154.52,168.79,4724.46,NA,NA,471872.95,5397.80,5524.70,49568234.26,18711.71,16847.86,1249567.04,18691.26,16837.72,5.0000,0.2217,NA,NA,NA,NA,NA,NA,NA,NA,0.0681,3.2780,3.6260,1.653,0.480,3.440,98.246
20,20,T,55.25010601,-4.484283999,331.712311,1,0.6904,69.0431,0.3239,32.3906,67.6094,5.16,5,2006588.36,1096.93,1107.50,11757.64,NA,NA,289197.51,3248.20,3378.74,23980995.06,8608.50,8144.45,616591.14,8773.15,8300.68,5.0000,0.3174,NA,NA,NA,NA,NA,NA,NA,NA,0.1120,4.5611,4.5612,0.728,0.233,3.118,37.565
20,30,T,55.25006401,-4.484388018,329.636963,1,0.8426,84.2568,0.6061,60.6059,39.3941,4.93,5,2653753.87,1455.78,1464.95,14344.51,NA,NA,289432.62,3250.97,3381.50,40333449.40,15065.32,13706.68,1035174.78,15331.94,13946.18,5.0000,0.4095,8.7864,7.9585,NA,NA,NA,0.1428,5.0751,6.0955,0.1506,6.1744,6.5245,0.798,0.269,2.965,37.396
20,40,T,55.24995002,-4.48446597,328.764252,1,0.8834,88.3427,NA,NA,NA,4.12,5,181331.42,84.83,99.37,8579.91,NA,NA,161297.22,1743.16,1876.24,13643520.63,4526.71,4628.20,352097.82,4628.80,4733.42,5.0000,0.3249,7.8377,7.4375,NA,NA,NA,0.0185,NA,NA,0.0535,2.7545,3.1065,1.099,0.307,3.578,69.081
20,50,T,55.24988296,-4.484501006,331.04538,1,0.8382,83.8198,0.7895,78.9521,21.0479,4.15,5,458574.08,238.56,252.50,18196.86,NA,NA,264642.50,2959.25,3090.28,11151058.17,3542.56,3780.39,280772.80,3511.21,3771.45,5.0000,0.1910,NA,NA,NA,NA,NA,NA,NA,NA,0.0519,2.6971,3.0475,1.934,0.564,3.432,114.436
20,60,T,55.24982203,-4.484517016,325.887939,1,0.8507,85.0681,0.9327,93.2687,6.7313,3.68,5,710318.66,378.15,391.54,9102.23,NA,NA,150605.30,1617.34,1750.64,11274821.08,3591.43,3822.49,289814.81,3652.89,3893.40,5.0000,0.1507,NA,NA,NA,NA,NA,0.0132,NA,NA,0.0864,3.9341,4.2815,3.517,1.101,3.195,186.104
20,70,T,55.24970502,-4.484579964,325.629791,1,0.8382,83.8248,0.8894,88.9354,11.0646,3.78,5,990565.40,533.55,546.33,3822.18,NA,NA,211030.94,2328.39,2460.48,12017286.07,3884.59,4075.04,310379.22,3975.11,4170.76,5.0000,0.7330,18.0941,17.7545,NA,NA,NA,NA,NA,NA,0.0698,3.3389,3.6875,3.521,1.015,3.468,210.747
20,80,T,55.24962002,-4.484656993,326.389557,1,0.7685,76.8525,0.7597,75.9659,24.0341,3.88,5,241642.72,118.27,132.68,5426.04,NA,NA,218508.67,2416.38,2548.33,9305723.82,2813.92,3152.71,242456.83,2910.84,3254.68,5.0000,0.2785,NA,NA,NA,NA,NA,0.0125,NA,NA,0.0734,3.4680,3.8180,1.317,0.372,3.538,81.431
20,90,T,55.24955297,-4.484691024,324.078247,1,0.7113,71.1345,0.7057,70.5721,29.4279,3.98,10,404399.54,417.03,445.15,2422.88,NA,NA,171069.99,3716.32,3982.08,5681613.67,2765.86,3839.96,142845.10,2700.04,3822.39,10.0000,0.1100,NA,NA,NA,NA,NA,0.0141,-0.2783,NA,0.0401,NA,NA,1.443,0.399,3.619,91.711
